"","Date","Total.Cases","Active.Cases","Deaths","Inactive.Cases","Recoveries","New.Cases","New.Active.Cases","New.Inactive.Cases","New.Deaths","New.Recoveries","Infection.Factor","Mortality.Rate","Activity.Rate"
"1",2020-02-15,28,19,0,9,9,0,0,0,0,0,0,0,0.678571428571429
"2",2020-02-16,29,20,0,9,9,1,1,0,0,0,0.05,0,0.689655172413793
"3",2020-02-17,30,20,0,10,10,1,0,1,0,1,0.05,0,0.666666666666667
"4",2020-02-18,31,19,0,12,12,1,-1,2,0,2,0.0526315789473684,0,0.612903225806452
"5",2020-02-19,58,42,0,16,16,27,23,4,0,4,0.642857142857143,0,0.724137931034483
"6",2020-02-20,111,94,1,17,16,53,52,1,1,0,0.563829787234043,0.0588235294117647,0.846846846846847
"7",2020-02-21,209,190,2,19,17,98,96,2,1,1,0.515789473684211,0.105263157894737,0.909090909090909
"8",2020-02-22,436,416,2,20,18,227,226,1,0,1,0.545673076923077,0.1,0.954128440366973
"9",2020-02-23,602,578,6,24,18,166,162,4,4,0,0.28719723183391,0.25,0.960132890365448
"10",2020-02-24,833,803,8,30,22,231,225,6,2,4,0.287671232876712,0.266666666666667,0.963985594237695
"11",2020-02-25,977,944,11,33,22,144,141,3,3,0,0.152542372881356,0.333333333333333,0.966223132036848
"12",2020-02-26,1261,1225,12,36,24,284,281,3,1,2,0.231836734693878,0.333333333333333,0.971451229183188
"13",2020-02-27,1766,1729,13,37,24,505,504,1,1,0,0.292076344707924,0.351351351351351,0.979048697621744
"14",2020-02-28,2337,2297,16,40,24,571,568,3,3,0,0.248585111014367,0.4,0.982884039366709
"15",2020-02-29,3150,3109,17,41,24,813,812,1,1,0,0.261498874236089,0.414634146341463,0.986984126984127
"16",2020-03-01,3736,3685,21,51,30,586,576,10,4,6,0.159023066485753,0.411764705882353,0.98634903640257
"17",2020-03-02,4335,4277,28,58,30,599,592,7,7,0,0.140051437923778,0.482758620689655,0.986620530565167
"18",2020-03-03,5186,5120,32,66,34,851,843,8,4,4,0.1662109375,0.484848484848485,0.987273428461242
"19",2020-03-04,5621,5498,35,123,88,435,378,57,3,54,0.079119679883594,0.284552845528455,0.978117772638321
"20",2020-03-05,6284,6107,42,177,135,663,609,54,7,47,0.108563943016211,0.23728813559322,0.971833227243794
"21",2020-03-06,6593,6415,43,178,135,309,308,1,1,0,0.0481683554169914,0.241573033707865,0.97300166843622
"22",2020-03-07,7041,6875,48,166,118,448,460,-12,5,-17,0.0651636363636364,0.289156626506024,0.976423803437012
"23",2020-03-08,7313,7097,50,216,166,272,222,50,2,48,0.0383260532619417,0.231481481481481,0.970463558047313
"24",2020-03-09,7478,7178,53,300,247,165,81,84,3,81,0.0229869044302034,0.176666666666667,0.959882321476331
"25",2020-03-10,7513,7165,60,348,288,35,-13,48,7,41,0.00488485694347523,0.172413793103448,0.953680287501664
"26",2020-03-11,7755,7362,60,393,333,242,197,45,0,45,0.0328715023091551,0.152671755725191,0.949323017408124
"27",2020-03-12,7869,7293,66,576,510,114,-69,183,6,177,0.0156314273961333,0.114583333333333,0.926801372474266
"28",2020-03-13,7979,7198,67,781,714,110,-95,205,1,204,0.0152820227841067,0.0857874519846351,0.902118059907257
"29",2020-03-14,8086,7180,72,906,834,107,-18,125,5,120,0.0149025069637883,0.0794701986754967,0.887954489240663
"30",2020-03-15,8162,7253,75,909,834,76,73,3,3,0,0.0104784227216324,0.0825082508250825,0.888630237686841
"31",2020-03-16,8236,7024,75,1212,1137,74,-229,303,0,303,0.0105353075170843,0.0618811881188119,0.852841185041282
"32",2020-03-17,8320,6838,81,1482,1401,84,-186,270,6,264,0.0122842936531149,0.0546558704453441,0.821875
"33",2020-03-18,8413,6789,84,1624,1540,93,-49,142,3,139,0.0136986301369863,0.0517241379310345,0.806965410673957
"34",2020-03-19,8565,6527,91,2038,1947,152,-262,414,7,407,0.0232878811092385,0.0446516192345437,0.7620548744892
"35",2020-03-20,8652,6325,94,2327,2233,87,-202,289,3,286,0.0137549407114624,0.040395358831113,0.731044845122515
"36",2020-03-21,8799,6085,102,2714,2612,147,-240,387,8,379,0.0241577649958915,0.0375829034635225,0.691555858620298
"37",2020-03-22,8897,5884,104,3013,2909,98,-201,299,2,297,0.0166553365057784,0.0345170925987388,0.661346521299314
"38",2020-03-23,8961,5684,111,3277,3166,64,-200,264,7,257,0.0112596762843068,0.033872444308819,0.634304207119741
"39",2020-03-24,9037,5410,120,3627,3507,76,-274,350,9,341,0.0140480591497227,0.033085194375517,0.59864999446719
"40",2020-03-25,9137,5281,126,3856,3730,100,-129,229,6,223,0.0189358076121947,0.0326763485477178,0.577979643208931
"41",2020-03-26,9241,4966,131,4275,4144,104,-315,419,5,414,0.0209424083769634,0.0306432748538012,0.537387728600801
"42",2020-03-27,9332,4665,139,4667,4528,91,-301,392,8,384,0.0195069667738478,0.029783586886651,0.499892841834548
"43",2020-03-28,9478,4523,144,4955,4811,146,-142,288,5,283,0.0322794605350431,0.0290615539858729,0.477210381937118
"44",2020-03-29,9583,4398,152,5185,5033,105,-125,230,8,222,0.0238744884038199,0.0293153326904532,0.458937702180945
"45",2020-03-30,9661,4275,158,5386,5228,78,-123,201,6,195,0.0182456140350877,0.0293353137764575,0.442500776317151
"46",2020-03-31,9786,4216,162,5570,5408,125,-59,184,4,180,0.0296489563567362,0.0290843806104129,0.430819538115675
"47",2020-04-01,9887,4155,165,5732,5567,101,-61,162,3,159,0.0243080625752106,0.0287857641311933,0.420248811570749
"48",2020-04-02,9976,3979,169,5997,5828,89,-176,265,4,261,0.0223674290022619,0.0281807570451893,0.398857257417803
"49",2020-04-03,10062,3867,174,6195,6021,86,-112,198,5,193,0.0222394621153349,0.0280871670702179,0.384317233154442
"50",2020-04-04,10156,3654,177,6502,6325,94,-213,307,3,304,0.0257252326217843,0.0272223931098124,0.35978731784167
"51",2020-04-05,10237,3591,183,6646,6463,81,-63,144,6,138,0.0225563909774436,0.0275353596148059,0.350786363192342
"52",2020-04-06,10284,3500,186,6784,6598,47,-91,138,3,135,0.0134285714285714,0.0274174528301887,0.340334500194477
